Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini,energy_pc,murder,health
2000,37213984,284203750000.0,1062.0,54.0843505859375,1.14882267666887,15.0,16.1290412248255,23.8947336198062,,16.8328883767368,51.0,1643.32131961789,,8.22001076
2001,37624825,268696750000.0,691.0,58.4697608947754,1.18423354187058,17.32,12.4244152562322,20.833574652466,,16.9923529034125,53.3,1518.56737304195,8.31631763979875,8.26966286
2002,38029349,97724004251.8602,718.0,61.7228813171387,1.09188047859748,19.59,16.9569392155608,15.3318584042485,,19.6771706443151,53.8,1484.25701881625,9.38748649102565,7.33203077
2003,38424282,127586973492.177,792.0,64.0304870605469,1.06089505704838,15.36,27.4280508755432,10.7627059172487,,19.8373029880995,51.0,1590.61721067918,7.72167974407433,6.92670012
2004,38815916,164657930452.787,786.0,64.5891418457031,0.883295358833529,13.522,24.6534557360052,9.68251819633223,,16.8763416365527,48.5,1740.90890259945,6.02330247756233,7.09477043
2005,39216789,198737095012.282,1054.0,63.4893112182617,0.847154783885961,11.506,23.946359886693,10.6534929189359,5.1808433744425,,47.8,1712.4320350003,5.6047423259877,7.73392439
2006,39622115,232557260817.308,1020.0,66.9444732666016,0.788233877461469,10.078,22.0333391526542,11.9102616607561,3.3907141955962,,46.4,1784.01669776279,5.32783270151026,7.70940399
2007,40016763,287530508430.568,937.0,66.6672210693359,0.792548175031362,8.47,19.8483841980828,13.0985413493544,2.72684750122497,,46.3,1845.91422802344,5.34525993519266,7.86196613
2008,40424148,361558037110.419,801.0,68.5610733032227,0.762756475390461,7.837,11.0218432201051,12.313946714342,2.67920601141364,,45.0,1889.40923801554,5.86530605419315,8.24087811
2009,40854831,332976484577.619,640.0,70.6931915283203,0.886508576686385,8.645,13.7381863641294,12.4162075416805,2.98195821294241,,43.8,1722.74402909882,6.46679948327286,9.56852913
2010,41288694,423627422092.49,552.0,73.803669361107,0.814878118220695,7.714,15.0863203529933,12.6901062454749,1.84399576317014,,43.7,1826.05112368849,5.7739778082346,9.4852438
2011,41730660,530158122010.442,688.0,77.0101185060955,0.764287095310235,7.18,8.22014945932331,14.0087151168124,1.22770795872112,,42.7,1865.25736115683,6.01715853502966,9.51042366
2012,42161721,545982375701.128,735.0,78.1465174294761,0.784824735364742,7.217,6.27396625321678,15.2128150156924,1.53673589612636,,41.4,1897.60983922809,6.28057846262278,9.8851881
2013,42582455,552025140252.246,643.0,78.5681646081939,0.83773642721392,7.1,9.61999483859266,15.7290920133564,1.53372870982538,,41.1,1928.54922885127,7.2142387373598,9.92091465
2014,43024071,526319673731.638,509.0,81.072589697739,0.878100924236765,7.268,11.4269032684242,13.8237692455151,1.79255873857877,24.5697808575806,41.8,1911.61727736839,7.50277667235654,9.79773045
2015,43477012,594749285413.212,546.0,83.75569332589,0.850128597463815,7.577,9.43836863309546,14.4142330417064,1.5742013281649,25.0083932347048,,1919.75859208058,6.52528743235621,10.27364159
2016,43900313,557532320662.955,884.0,86.6743832906399,0.809245362717563,8.088,11.4076106061133,13.6676334273514,1.70027750562074,26.1799164832469,42.3,1889.87018853289,5.97945616037571,10.05355549
2017,44288894,643628393281.364,393.0,89.3297346952415,0.84775481125944,8.347,16.8948497510525,15.9584973420583,1.73479928371252,24.2825320419979,41.4,1874.82963739464,5.23155985787317,10.26057911
2018,44654882,524819892360.176,425.0,91.0846512732766,0.732300347538541,9.22,8.76225361679707,,2.95778551361675,22.6709430512171,41.7,1806.77623499039,5.33872203870925,10.17289257
2019,44973465,447754683615.225,442.0,95.1928240640628,0.699696134379197,9.843,8.79801852253825,14.4776292447323,5.7029147138395,22.0364845686943,43.3,1777.41507710553,5.13191495105041,10.11911297
2020,45191965,385740508436.965,930.0,99.3697348717996,0.734111593948744,11.461,8.36065160246713,15.746489768328,4.15006400338997,25.8405452538391,42.7,1623.92450833523,5.35272149985868,10.67246342
2021,45312281,486564085480.036,406.0,107.219557633976,0.631788619254705,8.736,8.58081622666602,13.2644289814535,4.29211290587395,22.8967903877811,42.4,1741.51377200597,4.62126366336244,11.00910187
2022,45407904,633993756301.08,,107.103901423423,0.684586409291956,6.805,8.35147499068672,12.8891009335255,3.09401335778846,21.865226929082,40.7,1808.76021335553,4.31202462020709,10.15950489
2023,45538401,649461687959.174,,107.822574129434,0.75569413987974,6.139,,15.3570823376105,3.54904853535679,21.00878925888,42.4,1763.50879742948,4.49291137824536,10.2695179
2024,45696159,638365455340.04,,,0.618350391157195,7.15,,15.1176778381075,1.56400803016664,,42.4,1736.70249657787,,
2025,45851378,683097891618.597,,,,7.145,,17.59829273545,5.29307311972797,,,,,
