Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp
2000,37213984,284203750000.0,1062.0,54.0843505859375,1.14882267666887,15.0,16.1290412248255
2001,37624825,268696750000.0,691.0,58.4697608947754,1.18423354187058,17.32,12.4244152562322
2002,38029349,97724004251.8602,718.0,61.7228813171387,1.09188047859748,19.59,16.9569392155608
2003,38424282,127586973492.177,792.0,64.0304870605469,1.06089505704838,15.36,27.4280508755432
2004,38815916,164657930452.787,786.0,64.5891418457031,0.883295358833529,13.522,24.6534557360052
2005,39216789,198737095012.282,1054.0,63.4893112182617,0.847154783885961,11.506,23.946359886693
2006,39622115,232557260817.308,1020.0,66.9444732666016,0.788233877461469,10.078,22.0333391526542
2007,40016763,287530508430.568,937.0,66.6672210693359,0.792548175031362,8.47,19.8483841980828
2008,40424148,361558037110.419,801.0,68.5610733032227,0.762756475390461,7.837,11.0218432201051
2009,40854831,332976484577.619,640.0,70.6931915283203,0.886508576686385,8.645,13.7381863641294
2010,41288694,423627422092.49,552.0,73.803669361107,0.814878118220695,7.714,15.0863203529933
2011,41730660,530158122010.442,688.0,77.0101185060955,0.764287095310235,7.18,8.22014945932331
2012,42161721,545982375701.128,735.0,78.1465174294761,0.784824735364742,7.217,6.27396625321678
2013,42582455,552025140252.246,643.0,78.5681646081939,0.83773642721392,7.1,9.61999483859266
2014,43024071,526319673731.638,509.0,81.072589697739,0.878100924236765,7.268,11.4269032684242
2015,43477012,594749285413.212,546.0,83.75569332589,0.850128597463815,7.577,9.43836863309546
2016,43900313,557532320662.955,884.0,86.6743832906399,0.809245362717563,8.088,11.4076106061133
2017,44288894,643628393281.364,393.0,89.3297346952415,0.84775481125944,8.347,16.8948497510525
2018,44654882,524819892360.176,425.0,91.0846512732766,0.732300347538541,9.22,8.76225361679707
2019,44973465,447754683615.225,442.0,95.1928240640628,0.699696134379197,9.843,8.79801852253825
2020,45191965,385740508436.965,930.0,99.3697348717996,0.734111593948744,11.461,8.36065160246713
2021,45312281,486564085480.036,406.0,107.219557633976,0.631788619254705,8.736,8.58081622666602
2022,45407904,633993756301.08,,107.103901423423,0.684586409291956,6.805,8.35147499068672
2023,45538401,649461687959.174,,107.822574129434,0.75569413987974,6.139,
2024,45696159,638365455340.04,,,0.618350391157195,7.15,
2025,45851378,683097891618.597,,,,7.145,
