Year,Population,GDP,Patent,EduRate,Gini,Military,Arable,unemployment,mcap_gdp,credit_gdp,npl,gov_exp
2000,82211508,1966980701145.1,51736.0,,28.7,1.34421581953972,11804000.0,7.917,64.5783239896819,,,31.0107716724735
2001,82349925,1966381496641.73,49989.0,,29.9,1.30789826898647,11813000.0,7.773,54.5036012508445,111.240170458005,,30.4174846164707
2002,82488495,2102350798305.89,47598.0,,29.9,1.31344033426945,11791000.0,8.482,32.6307836233992,110.165745012493,,30.8239781232009
2003,82534176,2534715518349.01,47818.0,,29.9,1.2986963477858,11827000.0,9.779,42.5699149347862,108.505942047742,,31.1635970921229
2004,82516260,2852317768061.78,48448.0,,30.1,1.25072808117217,11898000.0,10.727,41.8788117991391,105.024726999965,,29.9861755573387
2005,82469422,2893393187361.87,48367.0,,31.6,1.23275583821682,11904000.0,11.193,41.5476294494245,103.75352043032,,30.0041707693565
2006,82376451,3046308753670.58,48012.0,,31.0,1.17898651377886,11866000.0,10.277,53.7571829522138,100.341277234171,,28.6974997733062
2007,82266372,3484056680854.91,47853.0,,31.2,1.15279236258074,11877000.0,8.732,60.423753481629,95.4983439670839,,27.5320782623062
2008,82110097,3808197720125.0,49240.0,,30.6,1.1888700534429,11932000.0,7.508,29.1628668367447,95.4017333003769,,27.8052972254835
2009,81902307,3478545516683.59,47859.0,,30.4,1.2847898688108,11945000.0,7.88,37.1521747753963,96.8593447395117,,30.4455546778831
2010,81776930,3467093769666.67,47047.0,,30.2,1.24181027958074,11846000.0,7.043,41.2368151824591,86.7703784709742,,30.7567125257145
2011,80274983,3823575803793.78,46986.0,,30.4,1.18233731589884,11875000.0,5.967,30.978859078058,83.2493965947192,,28.3141784769068
2012,80425823,3596483233406.25,46620.0,,30.9,1.21725965761789,11834000.0,5.372,41.3268938999697,82.1912777571376,,27.9445071589837
2013,80645605,3807023797050.99,47353.0,60.8984489440918,31.4,1.16213791467872,11876000.0,5.316,50.8561638490348,80.6847771482794,,27.9969858502414
2014,80982500,3964870735760.77,48154.0,65.1844787597656,30.8,1.12769949450115,11869000.0,4.979,43.8485684872249,77.7920367770492,,27.5160413741803
2015,81686611,3425099578746.09,47384.0,68.23291015625,31.4,1.11541840455009,11846000.0,4.612,50.0949082078409,76.5815039050479,,27.43650045513
2016,82348669,3536787895179.0,48480.0,67.9464111328125,31.3,1.12912506140277,11763000.0,4.104,48.5197743240464,75.9886830599554,,27.3748517311851
2017,82657002,3765351626105.89,47785.0,68.4692306518555,31.3,1.13126090102098,11772000.0,3.781,60.079981755637,76.0590859587592,,27.5226740191593
2018,82905782,4055433215301.96,46617.0,69.1634292602539,31.9,1.14814145777047,11731000.0,3.384,43.2795387525403,76.6188414195566,,27.3644959420855
2019,83092962,3959894794039.21,46632.0,72.705078125,32.2,1.24014846331417,11714000.0,3.163,52.9855978284666,77.9656968065859,,27.8804335534648
2020,83160871,3941398957073.94,42260.0,72.3894195556641,32.5,1.35598993512329,11664000.0,3.881,57.9517289387954,83.809378912227,,32.1505946585061
2021,83196078,4355251953410.78,39822.0,75.6655426025391,33.6,1.29982374349238,11658000.0,3.594,57.4718950080433,82.7038241987432,,32.6685205602959
2022,83177813,4201021706478.62,,77.3656997680664,33.7,1.35030514561756,11657000.0,3.137,44.9810563246043,81.079187544963,1.23497612551347,31.174891399437
2023,83287273,4562207532490.28,,78.5947494506836,,1.48796332620564,11681000.0,3.071,47.7411977532533,77.253484574492,1.53513253215757,
2024,83516593,4685592577804.69,,76.7096862792969,,1.89190377205494,,3.4,43.6283922696023,,1.77161339190265,
2025,83491249,5050922925047.05,,,,,,3.711,57.3881572341157,,1.89057945686605,
