Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health
2000,49556660,32375083934.8241,5620.0,50.5071182250977,3.51108284883721,11.707,,2700.10061007166,8.91504794713768,5.30685186
2001,49106855,39309580983.2282,7208.0,52.9101104736328,2.76926719545401,11.061,,2730.9849933122,9.88456693180039,5.72534418
2002,48677281,43956163612.0433,1601.0,56.645679473877,2.67619950627408,10.136,,2786.00498673634,8.82547240056403,5.99220037
2003,48315136,52010355753.0461,1635.0,60.2553215026855,2.74557877088929,9.057,,2914.06696251373,8.36383861156885,6.54574108
2004,47979507,67220154164.3166,4090.0,63.4407501220703,2.50682433490703,8.59,,2957.98499344051,7.26768625683968,6.16856956
2005,47585556,89238865118.5263,3538.0,66.8898620605469,2.79248933066336,7.18,,2964.77701596962,6.36747840037847,6.3461585
2006,47278694,111884752475.248,3474.0,71.939811706543,2.77159181333191,6.81,,2866.6234732695,6.25651793325215,6.4171896
2007,47062798,148733861386.139,3440.0,76.2627563476562,2.87000281658483,6.351,,2961.88351682898,5.62227515669595,6.01776791
2008,46819175,188110390659.515,2825.0,79.7325210571289,2.67292227463357,6.363,,2875.89657843683,5.26707267623711,5.49754429
2009,46623731,121552153444.124,2434.0,82.4992523193359,2.8403538702613,8.84,,2453.43957426865,4.80442030690337,6.60991716
2010,46456003,141209170427.233,2556.0,81.9082510858655,2.74199654235065,8.1,27.5459447019726,2848.78160077932,4.27931783411627,6.81387615
2011,46307853,169333835201.554,2649.0,84.7981059629784,2.25828771122262,7.851,15.1499905317,2732.88427034676,,6.81669855
2012,46210056,182591753827.949,2491.0,83.8798999891598,2.35345197687142,7.529,,2650.99861590717,5.05517673469169,7.11789227
2013,46126770,190498811460.028,2856.0,81.5320112568844,2.3928953083474,7.17,11.5743871738678,2517.91132267143,,6.94358015
2014,45972380,133503871861.723,2457.0,83.7842174613245,2.96736825853937,9.27,9.17299238533255,2298.60778628289,6.18849833107946,7.19506168
2015,45784896,91030967789.0717,2271.0,76.8646556476929,3.84784847607093,9.14,6.28312555486929,2027.641681734,,7.78352833
2016,45616832,93355869403.9223,2233.0,77.0398374695438,3.66861786886462,9.35,4.77023033306238,2007.97794185628,,7.55205393
2017,45436041,112090505081.739,2283.0,80.1990246943391,3.24149291547879,9.5,4.63732409467645,1967.83535233788,6.05466477531939,7.44610357
2018,45208907,130891088293.55,2107.0,81.4946716210446,3.63516607992805,8.799,3.37336946125581,2068.75608372619,4.42833090390794,7.52051353
2019,44957458,153883047509.577,2097.0,84.48135621115,4.06793765037597,8.194,,1987.62473314258,4.04827159044446,7.09389353
2020,44680014,156617722013.342,1361.0,82.1345992180731,4.40031470276707,9.475,,1932.92182292303,3.80035686872931,7.56217051
2021,44298640,199765859570.935,1302.0,75.9079435107907,3.42549199562857,9.834,,2096.06217562326,3.77663964401616,8.2027483
2022,41048766,161989520721.19,,,25.6424104715416,,,1479.47224953939,,
2023,37732836,181221517868.744,,82.5533599853516,36.5281725077224,,,1508.27791300021,,
2024,37860221,190833835445.1,,87.1920013427734,34.4815297701892,,,,,
2025,38980376,214233312784.397,,,,,,,,
